"Ano";" Total";"0 a 29 anos";"30 a 69 anos";"70 anos e mais";"~Idade ignorada"
"2011";"42,8";"0,8";"40,6";"375,9";"0,0"
"2012";"39,9";"0,7";"36,3";"351,7";"0,0"
"2013";"39,5";"0,7";"35,8";"339,7";"0,0"
"2014";"37,3";"0,9";"33,1";"315,4";"0,0"
"2015";"36,3";"0,8";"31,4";"303,8";"0,0"
"2016";"38,2";"1,0";"33,0";"309,8";"0,0"
"2017";"38,2";"0,9";"33,0";"298,7";"0,0"
"2018";"40,3";"1,1";"34,9";"303,2";"0,0"
"2019";"39,9";"0,9";"34,5";"290,7";"0,0"
"2020";"43,1";"1,4";"37,4";"298,8";"0,0"
"2021";"41,4";"1,5";"34,7";"294,4";"0,0"
