UF;regiões RJ;Municipios
RJ;Baixada Litoranea;Araruama
RJ;Baixada Litoranea;Armação dos Búzios
RJ;Baixada Litoranea;Arraial do Cabo
RJ;Baixada Litoranea;Cabo Frio
RJ;Baixada Litoranea;Cachoeiras de Macacu
RJ;Baixada Litoranea;Casimiro de Abreu
RJ;Baixada Litoranea;Iguaba Grande
RJ;Baixada Litoranea;São Pedro da Aldeia
RJ;Baixada Litoranea;Saquarema
RJ;Baixada Litoranea;Silva Jardim
RJ;Baixada Litoranea;Rio Bonito
RJ;Baixada Litoranea;Rio das Ostras
RJ;Centro-Sul;Areal
RJ;Centro-Sul;Comendador Levy Gasparian
RJ;Centro-Sul;Engenheiro Paulo de Frontin
RJ;Centro-Sul;Mendes
RJ;Centro-Sul;Miguel Pereira
RJ;Centro-Sul;Paraíba do Sul
RJ;Centro-Sul;Paty do Alferes
RJ;Centro-Sul;Sapucaia
RJ;Centro-Sul;Três Rios
RJ;Centro-Sul;Vassouras
RJ;Costa Verde;Angra dos Reis
RJ;Costa Verde;Mangaratiba
RJ;Costa Verde;Paraty
RJ;Medio Paraiba;Barra do Piraí
RJ;Medio Paraiba;Barra Mansa
RJ;Medio Paraiba;Itatiaia
RJ;Medio Paraiba;Piraí
RJ;Medio Paraiba;Porto Real
RJ;Medio Paraiba;Quatis
RJ;Medio Paraiba;Resende
RJ;Medio Paraiba;Rio Claro
RJ;Medio Paraiba;Rio das Flores
RJ;Medio Paraiba;Valença
RJ;Medio Paraiba;Volta Redonda
RJ;Médio Paraíba;Pinheiral
RJ;Metropolitana;Belford Roxo
RJ;Metropolitana;Duque de Caxias
RJ;Metropolitana;Guapimirim
RJ;Metropolitana;Itaboraí
RJ;Metropolitana;Itaguaí
RJ;Metropolitana;Japeri
RJ;Metropolitana;Magé
RJ;Metropolitana;Maricá
RJ;Metropolitana;Mesquita
RJ;Metropolitana;Nilópolis
RJ;Metropolitana;Niterói
RJ;Metropolitana;Nova Iguaçu
RJ;Metropolitana;Paracambi
RJ;Metropolitana;Queimados
RJ;Metropolitana;Rio de Janeiro
RJ;Metropolitana;São Gonçalo
RJ;Metropolitana;São João de Meriti
RJ;Metropolitana;Seropédica
RJ;Metropolitana;Tanguá
RJ;Noroeste Fluminense;Aperibé
RJ;Noroeste Fluminense;Bom Jesus do Itabapoana
RJ;Noroeste Fluminense;Cambuci
RJ;Noroeste Fluminense;Italva
RJ;Noroeste Fluminense;Itaocara
RJ;Noroeste Fluminense;Itaperuna
RJ;Noroeste Fluminense;Laje do Muriaé
RJ;Noroeste Fluminense;Miracema
RJ;Noroeste Fluminense;Natividade
RJ;Noroeste Fluminense;Porciúncula
RJ;Noroeste Fluminense;Santo Antônio de Pádua
RJ;Noroeste Fluminense;São José de Ubá
RJ;Noroeste Fluminense;Varre-Sai
RJ;Norte Fluminense ;Campos dos Goytacazes
RJ;Norte Fluminense ;Carapebus
RJ;Norte Fluminense ;Cardoso Moreira
RJ;Norte Fluminense ;Conceição de Macabu
RJ;Norte Fluminense ;Macaé
RJ;Norte Fluminense ;Quissamã
RJ;Norte Fluminense ;São Fidélis
RJ;Norte Fluminense ;São Francisco de Itabapoana
RJ;Norte Fluminense ;São João da Barra
RJ;Serrana;Bom Jardim
RJ;Serrana;Cantagalo
RJ;Serrana;Carmo
RJ;Serrana;Cordeiro
RJ;Serrana;Duas Barras
RJ;Serrana;Macuco
RJ;Serrana;Nova Friburgo
RJ;Serrana;Petrópolis
RJ;Serrana;Santa Maria Madalena
RJ;Serrana;São José do Vale do Rio Preto
RJ;Serrana;São Sebastião do Alto
RJ;Serrana;Sumidouro
RJ;Serrana;Teresópolis
RJ;Serrana;Trajano de Moraes
