UF;Sexo;Cor;Anos de Estudo;Renda;Altura;nascimento
11;0;8;12;800;1603807616;1999
11;1;2;12;1150;1739789827;1999
11;1;8;15;880;1760443822;1987
11;0;2;6;3500;1783157945;1976
11;1;8;9;150;1690630954;1975
11;1;8;12;790;1637905598;1988
11;0;8;12;3150;1570078218;1965
11;1;8;12;1700;1608495442;1962
11;1;4;14;1800;1780328883;1972
11;0;8;12;1150;1793202625;1996
11;1;8;12;3000;1787003282;1976
11;1;8;6;2500;1712911548;1973
11;1;2;6;1200;1736442076;1970
11;0;8;12;2000;1750826666;1984
11;0;2;12;2000;1780450392;1977
11;0;2;16;6000;1711825037;1988
11;1;8;10;1050;1789011804;1979
11;0;8;16;7000;1673665133;1969
11;0;2;12;2000;1715137632;1965
11;1;8;12;1150;176597309;1960
11;0;8;1;3030;1746351196;1953
11;1;8;16;4000;1660873129;1981
11;0;8;5;788;1746048026;1988
11;0;8;12;1000;1726496158;1997
11;0;8;9;800;1778913561;1989
11;1;8;5;788;1668637941;1978
11;0;2;16;1600;1783770601;1989
11;0;2;12;1700;1873445247;1957
11;0;8;14;2000;1890250314;1989
11;0;8;12;2400;1660204145;1990
11;0;8;5;3000;1636361741;1979
11;0;8;1;920;1685590822;1992
11;0;2;10;1300;168402625;1996
11;0;2;15;2000;167104419;1970
11;0;8;1;1300;1632129706;1960
11;0;6;5;600;1712121503;1958
11;0;8;7;1200;1763447989;1991
11;0;2;3;1000;1694500204;1959
11;1;2;9;1000;1705147683;1982
11;0;4;9;1500;1672258066;1975
11;0;2;7;900;1645452653;1988
11;0;8;6;900;1814785789;1989
11;0;8;6;0;1652746296;1959
11;1;8;2;300;1757341995;1982
11;0;8;6;1600;1611286043;1981
11;0;2;10;1500;1693976403;1994
11;1;8;12;750;1684819452;1990
11;0;2;1;800;1701974845;1978
11;1;2;12;3600;1599083153;1984
11;0;2;4;1500;1646862718;1981
11;0;8;8;3000;1752071058;1960
11;0;8;7;2300;1576576371;1985
11;0;2;12;1500;1697451547;1981
11;0;8;12;4500;1573698003;1981
11;1;2;16;4800;1727453392;1976
11;1;8;12;900;1663525091;1976
11;1;2;7;400;1450378572;1977
11;0;8;2;1050;175151196;1962
11;1;8;7;850;1599067442;1984
11;1;8;12;650;162281412;1990
11;1;8;6;300;1523482727;1983
11;1;8;5;900;1677850056;1973
11;1;2;11;1000;177007179;1988
11;1;8;8;970;1799870428;1984
11;1;4;12;1000;1704955017;1986
11;1;2;7;600;1674563104;1977
11;0;4;10;1000;1810539927;1973
