voto,dep. federal,partido,estado,img
Arthur Lira,Chiquinho Brazão ,Avante,RJ,https://arte.estadao.com.br/public/placar/img/voter/204476.jpg
Arthur Lira,Greyce Elias ,Avante,MG,https://arte.estadao.com.br/public/placar/img/voter/198197.jpg
Arthur Lira,Leda Sadala ,Avante,AP,https://arte.estadao.com.br/public/placar/img/voter/204375.jpg
Arthur Lira,Luis Tibé ,Avante,MG,https://arte.estadao.com.br/public/placar/img/voter/160510.jpg
Arthur Lira,Sebastião Oliveira ,Avante,PE,https://arte.estadao.com.br/public/placar/img/voter/178921.jpg
Arthur Lira,Tito ,Avante,BA,https://arte.estadao.com.br/public/placar/img/voter/197438.jpg
Arthur Lira,Alan Rick ,DEM,AC,https://arte.estadao.com.br/public/placar/img/voter/178836.jpg
Arthur Lira,Arthur Oliveira Maia ,DEM,BA,https://arte.estadao.com.br/public/placar/img/voter/160600.jpg
Arthur Lira,Carlos Henrique Gaguim ,DEM,TO,https://arte.estadao.com.br/public/placar/img/voter/178993.jpg
Arthur Lira,David Soares ,DEM,SP,https://arte.estadao.com.br/public/placar/img/voter/204511.jpg
Arthur Lira,Dr. Zacharias Calil ,DEM,GO,https://arte.estadao.com.br/public/placar/img/voter/204412.jpg
Arthur Lira,Elmar Nascimento ,DEM,BA,https://arte.estadao.com.br/public/placar/img/voter/178854.jpg
Arthur Lira,Leur Lomanto Júnior ,DEM,BA,https://arte.estadao.com.br/public/placar/img/voter/92102.jpg
Arthur Lira,Luis Miranda ,DEM,DF,https://arte.estadao.com.br/public/placar/img/voter/204381.jpg
Arthur Lira,Norma Ayub ,DEM,ES,https://arte.estadao.com.br/public/placar/img/voter/66179.jpg
Arthur Lira,Onyx Lorenzoni ,DEM,RS,https://arte.estadao.com.br/public/placar/img/voter/74399.jpg
Arthur Lira,Pedro Lupion ,DEM,PR,https://arte.estadao.com.br/public/placar/img/voter/204395.jpg
Arthur Lira,Tereza Cristina ,DEM,MS,https://arte.estadao.com.br/public/placar/img/voter/178901.jpg
Arthur Lira,Daniela do Waguinho ,MDB,RJ,https://arte.estadao.com.br/public/placar/img/voter/204459.jpg
Arthur Lira,Osmar Terra ,MDB,RS,https://arte.estadao.com.br/public/placar/img/voter/73692.jpg
Arthur Lira,Alcides Rodrigues ,Patriota,GO,https://arte.estadao.com.br/public/placar/img/voter/204413.jpg
Arthur Lira,Dr. Frederico ,Patriota,MG,https://arte.estadao.com.br/public/placar/img/voter/204518.jpg
Arthur Lira,Fred Costa ,Patriota,MG,https://arte.estadao.com.br/public/placar/img/voter/204494.jpg
Arthur Lira,Marreca Filho ,Patriota,MA,https://arte.estadao.com.br/public/placar/img/voter/204566.jpg
Arthur Lira,Pastor Eurico ,Patriota,PE,https://arte.estadao.com.br/public/placar/img/voter/160642.jpg
Arthur Lira,Roman ,Patriota,PR,https://arte.estadao.com.br/public/placar/img/voter/178930.jpg
Arthur Lira,Gil Cutrim ,PDT,MA,https://arte.estadao.com.br/public/placar/img/voter/204575.jpg
Arthur Lira,Abílio Santana ,PL,BA,https://arte.estadao.com.br/public/placar/img/voter/204554.jpg
Arthur Lira,Aelton Freitas ,PL,MG,https://arte.estadao.com.br/public/placar/img/voter/141372.jpg
Arthur Lira,Altineu Côrtes ,PL,RJ,https://arte.estadao.com.br/public/placar/img/voter/178937.jpg
Arthur Lira,Bosco Costa ,PL,SE,https://arte.estadao.com.br/public/placar/img/voter/74052.jpg
Arthur Lira,Capitão Augusto ,PL,SP,https://arte.estadao.com.br/public/placar/img/voter/178829.jpg
Arthur Lira,Capitão Fábio Abreu ,PL,PI,https://arte.estadao.com.br/public/placar/img/voter/178924.jpg
Arthur Lira,Cristiano Vale ,PL,PA,https://arte.estadao.com.br/public/placar/img/voter/135054.jpg
Arthur Lira,Dr. Jaziel ,PL,CE,https://arte.estadao.com.br/public/placar/img/voter/204481.jpg
Arthur Lira,Edio Lopes ,PL,RR,https://arte.estadao.com.br/public/placar/img/voter/141417.jpg
Arthur Lira,Fernando Rodolfo ,PL,PE,https://arte.estadao.com.br/public/placar/img/voter/204427.jpg
Arthur Lira,Flávia Arruda ,PL,DF,https://arte.estadao.com.br/public/placar/img/voter/204354.jpg
Arthur Lira,Gelson Azevedo ,PL,RJ,https://arte.estadao.com.br/public/placar/img/voter/115746.jpg
Arthur Lira,Giacobo ,PL,PR,https://arte.estadao.com.br/public/placar/img/voter/74383.jpg
Arthur Lira,Giovani Cherini ,PL,RS,https://arte.estadao.com.br/public/placar/img/voter/160673.jpg
Arthur Lira,João Carlos Bacelar ,PL,BA,https://arte.estadao.com.br/public/placar/img/voter/141458.jpg
Arthur Lira,João Maia ,PL,RN,https://arte.estadao.com.br/public/placar/img/voter/141459.jpg
Arthur Lira,Jorge Goetten ,PL,SC,https://arte.estadao.com.br/public/placar/img/voter/214694.jpg
Arthur Lira,José Rocha ,PL,BA,https://arte.estadao.com.br/public/placar/img/voter/74554.jpg
Arthur Lira,Júnior Mano ,PL,CE,https://arte.estadao.com.br/public/placar/img/voter/204550.jpg
Arthur Lira,Lincoln Portela ,PL,MG,https://arte.estadao.com.br/public/placar/img/voter/74585.jpg
Arthur Lira,Luiz Carlos Motta ,PL,SP,https://arte.estadao.com.br/public/placar/img/voter/204485.jpg
Arthur Lira,Luiz Nishimori ,PL,PR,https://arte.estadao.com.br/public/placar/img/voter/162332.jpg
Arthur Lira,Magda Mofatto ,PL,GO,https://arte.estadao.com.br/public/placar/img/voter/166402.jpg
Arthur Lira,Marcelo Ramos ,PL,AM,https://arte.estadao.com.br/public/placar/img/voter/204556.jpg
Arthur Lira,Marcio Alvino ,PL,SP,https://arte.estadao.com.br/public/placar/img/voter/178983.jpg
Arthur Lira,Miguel Lombardi ,PL,SP,https://arte.estadao.com.br/public/placar/img/voter/178985.jpg
Arthur Lira,Pastor Gil ,PL,MA,https://arte.estadao.com.br/public/placar/img/voter/204570.jpg
Arthur Lira,Policial Katia Sastre ,PL,SP,https://arte.estadao.com.br/public/placar/img/voter/204529.jpg
Arthur Lira,Raimundo Costa ,PL,BA,https://arte.estadao.com.br/public/placar/img/voter/204567.jpg
Arthur Lira,Sergio Toledo ,PL,AL,https://arte.estadao.com.br/public/placar/img/voter/204438.jpg
Arthur Lira,Soraya Santos ,PL,RJ,https://arte.estadao.com.br/public/placar/img/voter/178946.jpg
Arthur Lira,Valdevan Noventa ,PL,SE,https://arte.estadao.com.br/public/placar/img/voter/204385.jpg
Arthur Lira,Vicentinho Júnior ,PL,TO,https://arte.estadao.com.br/public/placar/img/voter/137070.jpg
Arthur Lira,Vinicius Gurgel ,PL,AP,https://arte.estadao.com.br/public/placar/img/voter/160591.jpg
Arthur Lira,Wellington Roberto ,PL,PB,https://arte.estadao.com.br/public/placar/img/voter/74043.jpg
Arthur Lira,Zé Vitor ,PL,MG,https://arte.estadao.com.br/public/placar/img/voter/204517.jpg
Arthur Lira,Bacelar ,PODE,BA,https://arte.estadao.com.br/public/placar/img/voter/69871.jpg
Arthur Lira,Diego Garcia ,PODE,PR,https://arte.estadao.com.br/public/placar/img/voter/178929.jpg
Arthur Lira,José Medeiros ,PODE,MT,https://arte.estadao.com.br/public/placar/img/voter/204472.jpg
Arthur Lira,José Nelto ,PODE,GO,https://arte.estadao.com.br/public/placar/img/voter/204391.jpg
Arthur Lira,Renata Abreu ,PODE,SP,https://arte.estadao.com.br/public/placar/img/voter/178989.jpg
Arthur Lira,Ricardo Teobaldo ,PODE,PE,https://arte.estadao.com.br/public/placar/img/voter/178920.jpg
Arthur Lira,Roberto de Lucena ,PODE,SP,https://arte.estadao.com.br/public/placar/img/voter/160653.jpg
Arthur Lira,Adriano do Baldy ,PP,GO,https://arte.estadao.com.br/public/placar/img/voter/121948.jpg
Arthur Lira,Afonso Hamm ,PP,RS,https://arte.estadao.com.br/public/placar/img/voter/136811.jpg
Arthur Lira,AJ Albuquerque ,PP,CE,https://arte.estadao.com.br/public/placar/img/voter/204549.jpg
Arthur Lira,André Abdon ,PP,AP,https://arte.estadao.com.br/public/placar/img/voter/178831.jpg
Arthur Lira,André Fufuca ,PP,MA,https://arte.estadao.com.br/public/placar/img/voter/178882.jpg
Arthur Lira,Angela Amin ,PP,SC,https://arte.estadao.com.br/public/placar/img/voter/73696.jpg
Arthur Lira,Arthur Lira ,PP,AL,https://arte.estadao.com.br/public/placar/img/voter/160541.jpg
Arthur Lira,Átila Lins ,PP,AM,https://arte.estadao.com.br/public/placar/img/voter/74090.jpg
Arthur Lira,Átila Lira ,PP,PI,https://arte.estadao.com.br/public/placar/img/voter/74459.jpg
Arthur Lira,Beto Rosado ,PP,RN,https://arte.estadao.com.br/public/placar/img/voter/178948.jpg
Arthur Lira,Cacá Leão ,PP,BA,https://arte.estadao.com.br/public/placar/img/voter/93083.jpg
Arthur Lira,Celina Leão ,PP,DF,https://arte.estadao.com.br/public/placar/img/voter/204380.jpg
Arthur Lira,Christino Aureo ,PP,RJ,https://arte.estadao.com.br/public/placar/img/voter/204440.jpg
Arthur Lira,Claudio Cajado ,PP,BA,https://arte.estadao.com.br/public/placar/img/voter/74537.jpg
Arthur Lira,Dimas Fabiano ,PP,MG,https://arte.estadao.com.br/public/placar/img/voter/160599.jpg
Arthur Lira,Dr. Luiz Antonio Teixeira Jr. ,PP,RJ,https://arte.estadao.com.br/public/placar/img/voter/204450.jpg
Arthur Lira,Eduardo da Fonte ,PP,PE,https://arte.estadao.com.br/public/placar/img/voter/141421.jpg
Arthur Lira,Evair Vieira de Melo ,PP,ES,https://arte.estadao.com.br/public/placar/img/voter/178871.jpg
Arthur Lira,Fausto Pinato ,PP,SP,https://arte.estadao.com.br/public/placar/img/voter/66828.jpg
Arthur Lira,Fernando Monteiro ,PP,PE,https://arte.estadao.com.br/public/placar/img/voter/92699.jpg
Arthur Lira,Franco Cartafina ,PP,MG,https://arte.estadao.com.br/public/placar/img/voter/204510.jpg
Arthur Lira,Guilherme Derrite ,PP,SP,https://arte.estadao.com.br/public/placar/img/voter/204531.jpg
Arthur Lira,Guilherme Mussi ,PP,SP,https://arte.estadao.com.br/public/placar/img/voter/160667.jpg
Arthur Lira,Hiran Gonçalves ,PP,RR,https://arte.estadao.com.br/public/placar/img/voter/178959.jpg
Arthur Lira,Iracema Portella ,PP,PI,https://arte.estadao.com.br/public/placar/img/voter/67138.jpg
Arthur Lira,Jaqueline Cassol ,PP,RO,https://arte.estadao.com.br/public/placar/img/voter/108338.jpg
Arthur Lira,Jerônimo Goergen ,PP,RS,https://arte.estadao.com.br/public/placar/img/voter/160570.jpg
Arthur Lira,Laercio Oliveira ,PP,SE,https://arte.estadao.com.br/public/placar/img/voter/151208.jpg
Arthur Lira,Marcelo Aro ,PP,MG,https://arte.estadao.com.br/public/placar/img/voter/146788.jpg
Arthur Lira,Margarete Coelho ,PP,PI,https://arte.estadao.com.br/public/placar/img/voter/204430.jpg
Arthur Lira,Mário Negromonte Jr. ,PP,BA,https://arte.estadao.com.br/public/placar/img/voter/178858.jpg
Arthur Lira,Neri Geller ,PP,MT,https://arte.estadao.com.br/public/placar/img/voter/146307.jpg
Arthur Lira,Pedro Westphalen ,PP,RS,https://arte.estadao.com.br/public/placar/img/voter/204406.jpg
Arthur Lira,Pinheirinho ,PP,MG,https://arte.estadao.com.br/public/placar/img/voter/204524.jpg
Arthur Lira,Professor Alcides ,PP,GO,https://arte.estadao.com.br/public/placar/img/voter/204390.jpg
Arthur Lira,Ricardo Barros ,PP,PR,https://arte.estadao.com.br/public/placar/img/voter/73788.jpg
